,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
278,Mananjary,MG,-21.2167,48.3333,75.0,73,0,7.83,clear sky
279,San Miguel De Cauri,PE,-10.1,-76.5833,46.62,69,62,1.74,broken clouds
280,Derzhavinsk,KZ,51.1,66.3167,74.59,24,6,10.4,clear sky
281,Svetlyy,RU,54.675,20.1347,51.8,93,75,2.24,broken clouds
282,Lola,GN,7.8,-8.5333,91.72,44,89,4.45,overcast clouds
283,Krasnoselkup,RU,65.7,82.4667,36.19,57,97,22.82,overcast clouds
284,Kisangani,CD,0.5167,25.2,88.16,66,75,1.88,broken clouds
285,Gravdal,NO,68.1214,13.5031,49.68,76,40,12.66,scattered clouds
286,Le Port,RE,-20.9373,55.2919,78.8,66,1,6.42,clear sky
287,Gwadar,PK,25.1216,62.3254,91.87,59,0,18.32,clear sky
288,Vangaindrano,MG,-23.35,47.6,75.0,76,0,8.23,clear sky
289,Sokoni,TZ,-6.4333,39.55,84.06,66,59,16.84,broken clouds
290,Morondava,MG,-20.2833,44.2833,78.1,59,0,12.19,clear sky
291,Qurbus,TN,36.8167,10.5687,77.0,36,20,8.05,few clouds
292,Uglovka,RU,58.2392,33.5108,65.07,45,10,8.93,clear sky
293,Ormara,PK,25.2088,64.6357,86.25,81,0,13.4,clear sky
294,Kasungu,MW,-13.0333,33.4833,77.04,30,0,5.79,clear sky
295,Porto Walter,BR,-8.2686,-72.7439,78.03,75,5,2.37,clear sky
296,Pangody,RU,65.85,74.4859,42.93,36,100,12.97,overcast clouds
297,Westport,US,41.1415,-73.3579,61.0,41,1,13.8,clear sky
298,Pljevlja,ME,43.3333,19.3333,53.06,75,89,5.46,overcast clouds
299,Bereda,ES,43.2686,-7.5406,77.41,44,28,3.09,scattered clouds
300,Carmarthen,GB,51.8555,-4.3054,58.93,67,75,5.91,broken clouds
301,Aksarka,RU,66.5606,67.7975,48.65,30,100,6.33,overcast clouds
302,Port-Gentil,GA,-0.7193,8.7815,82.36,78,75,11.5,broken clouds
303,Nantucket,US,41.2835,-70.0995,59.14,62,1,19.57,clear sky
304,Semnan,IR,35.5729,53.3971,87.67,17,9,5.21,clear sky
305,Oltu,TR,40.5498,42.0013,79.57,24,83,11.23,broken clouds
306,Muravlenko,RU,63.7898,74.523,44.91,38,100,11.21,overcast clouds
307,Fershampenuaz,RU,53.5202,59.8117,76.03,32,0,7.05,clear sky
308,Goderich,CA,43.7501,-81.7165,42.91,87,100,16.11,overcast clouds
309,Itarema,BR,-2.9248,-39.9167,83.98,60,5,13.96,clear sky
310,Richards Bay,ZA,-28.783,32.0377,74.82,72,1,9.95,clear sky
311,Bara,NG,10.3744,10.7288,103.51,18,13,7.23,few clouds
312,Huaraz,PE,-9.5333,-77.5333,53.92,75,12,1.12,few clouds
313,Ciudad Bolivar,VE,8.1222,-63.5497,80.35,72,99,8.03,overcast clouds
314,Mweka,CD,-4.85,21.5667,93.06,25,100,2.86,overcast clouds
315,Kostrzyn,PL,52.3985,17.2281,59.0,63,40,9.22,scattered clouds
316,Kavaratti,IN,10.5669,72.642,83.91,75,36,18.86,scattered clouds
317,Rabo De Peixe,PT,37.8,-25.5833,65.71,59,40,4.12,scattered clouds
318,Mehamn,NO,71.0357,27.8492,35.78,64,99,22.86,overcast clouds
319,Lima,PE,-12.0432,-77.0282,64.9,91,90,2.3,overcast clouds
320,Wageningen,NL,51.9667,5.6667,67.89,56,19,0.43,few clouds
321,Cururupu,BR,-1.8283,-44.8683,88.79,53,6,2.91,clear sky
322,Mato Verde,BR,-15.3972,-42.8664,84.36,38,26,8.25,scattered clouds
323,Lyubinskiy,RU,55.1542,72.6925,64.08,43,19,8.79,few clouds
324,Boone,US,39.0334,-92.3335,53.01,1,100,8.99,overcast clouds
325,Aviles,ES,43.5547,-5.9248,66.76,75,20,7.0,few clouds
326,Leshukonskoye,RU,64.8989,45.7622,45.03,97,100,2.93,overcast clouds
327,Fuerte Olimpo,PY,-21.0415,-57.8738,82.8,47,100,11.83,overcast clouds
